"","Wilaya","Nombrede bureaux de vote","Electeurs inscrits","Nombre votants","Taux Part","Suffrages exprimés","Bulletins nuls","BOUTEFLIKA Abdelaziz","Taux %","BENFLIS Ali","Taux%","BELAID Abdelaziz","Taux %","HANOUNE Louiza","Taux%","REBAINE Ali Fewzi","Taux%","TOUATI Moussa","Taux%"
"1","Adrar","480","220052","150904","68,58","141319","9585","132295","93.61","3954","2.8","2398","1,7","736","0,52","1167","0,83","769","0,54"
"2","Chlef","1486","700202","396319","56,6","365993","30326","330410","90.28","16016","4.38","9599","2,62","4245","1,16","3701","1,01","2022","0,55"
"3","Laghouat","529","245629","172942","70,41","162418","10524","151501","93.28","5487","3.38","3189","1,96","765","0,47","996","0,61","480","0,3"
"4","O. El Bouaghi","877","407231","176955","43,45","157660","19295","85091","53.97","61273","38.86","6900","4,38","1920","1,22","1803","1,14","673","0,43"
"5","Batna","1421","632253","268548","42,47","247876","20672","96187","38.81","127121","51.28","18737","7,56","2209","0,89","2466","0,99","1156","0,47"
"6","Béjaïa","1152","529218","124031","23,44","108315","15716","47809","44.14","46868","43.27","4632","4,28","5495","5,07","2499","2,31","1012","0,93"
"7","Biskra","1000","448752","234539","52,26","210699","23840","177085","84.05","21939","10.41","7259","3,44","1893","0,9","1604","0,76","919","0,44"
"8","Béchar","432","200438","121990","60,86","111005","10985","103470","93.22","3446","3.1","2032","1,83","860","0,77","756","0,68","441","0,4"
"9","Blida","1549","683949","299358","43,77","252997","46361","206401","81.59","27715","10.95","9062","3,58","3988","1,58","3089","1,22","2742","1,08"
"10","Bouira","923","508208","173922","34,22","153511","20411","120089","78.23","23313","15.19","4952","3,22","2423","1,58","1765","1,15","969","0,63"
"11","Tamenghasset","268","127220","88864","69,85","84271","4593","78624","93.3","2872","3.41","1382","1,64","523","0,62","438","0,52","432","0,51"
"12","Tébessa","981","432395","237426","54,91","220362","17064","187931","85.28","21603","9.8","5786","2,63","2447","1,11","1766","0,8","829","0,38"
